goods_code	supplementary_unit	description
22082069	LPA	litre pure (100 %) alcohol
22082086	LPA	litre pure (100 %) alcohol
22082088	LPA	litre pure (100 %) alcohol
22083011	LPA	litre pure (100 %) alcohol
22083019	LPA	litre pure (100 %) alcohol
22083030	LPA	litre pure (100 %) alcohol
22083041	LPA	litre pure (100 %) alcohol
22083049	LPA	litre pure (100 %) alcohol
22083061	LPA	litre pure (100 %) alcohol
22083069	LPA	litre pure (100 %) alcohol
22083071	LPA	litre pure (100 %) alcohol
22083079	LPA	litre pure (100 %) alcohol
22083082	LPA	litre pure (100 %) alcohol
22083088	LPA	litre pure (100 %) alcohol
22084011	LPA	litre pure (100 %) alcohol
22084031	LPA	litre pure (100 %) alcohol
22084039	LPA	litre pure (100 %) alcohol
22084051	LPA	litre pure (100 %) alcohol
22084091	LPA	litre pure (100 %) alcohol
22084099	LPA	litre pure (100 %) alcohol
22085011	LPA	litre pure (100 %) alcohol
22085019	LPA	litre pure (100 %) alcohol
22085091	LPA	litre pure (100 %) alcohol
22085099	LPA	litre pure (100 %) alcohol
22086011	LPA	litre pure (100 %) alcohol
22086019	LPA	litre pure (100 %) alcohol
22086091	LPA	litre pure (100 %) alcohol
22086099	LPA	litre pure (100 %) alcohol
22087010	LPA	litre pure (100 %) alcohol
22087090	LPA	litre pure (100 %) alcohol
22089011	LPA	litre pure (100 %) alcohol
22089019	LPA	litre pure (100 %) alcohol
22089033	LPA	litre pure (100 %) alcohol
22089038	LPA	litre pure (100 %) alcohol
22089041	LPA	litre pure (100 %) alcohol
22089045	LPA	litre pure (100 %) alcohol
22089048	LPA	litre pure (100 %) alcohol
22089054	LPA	litre pure (100 %) alcohol
22089056	LPA	litre pure (100 %) alcohol
22089069	LPA	litre pure (100 %) alcohol
22089071	LPA	litre pure (100 %) alcohol
22089075	LPA	litre pure (100 %) alcohol
22089077	LPA	litre pure (100 %) alcohol
22089078	LPA	litre pure (100 %) alcohol
22089091	LPA	litre pure (100 %) alcohol
22089099	LPA	litre pure (100 %) alcohol
22090011	LTR	litre
22090019	LTR	litre
22090091	LTR	litre
22090099	LTR	litre
24021000	MIL	1 000 items
24022010	CEN	100 items
24022090	MIL	1 000 items
27050000	MTC	1 000 cubic meters
27101241	MTQ	cubic meter
27101245	MTQ	cubic meter
27101249	MTQ	cubic meter
27101250	MTQ	cubic meter
27111100	TJO	terajoule (gross caloriifc value)
27112100	TJO	terajoule (gross caloriifc value)
27160000	MWH	1 000 kilowatt hours
28041000	MTQ	cubic meter
28042100	MTQ	cubic meter
28042910	MTQ	cubic meter
28042990	MTQ	cubic meter
28043000	MTQ	cubic meter
28044000	MTQ	cubic meter
28091000	KPP	kilogram of diphosphorus pentaoxide
28092000	KPP	kilogram of diphosphorus pentaoxide
28151200	KSH	kilogram of sodium hydroxide (caustic soda)
28152000	KPH	kilogram of potassium hydroxide (caustic potash)
28433000	GRM	gram
28439090	GRM	gram
28441010	KUR	kilogram of uranium
28441030	KUR	kilogram of uranium
28441050	KUR	kilogram of uranium
28441090	KUR	kilogram of uranium
28442025	GFI	gram of fissile isotopes
28442035	GFI	gram of fissile isotopes
28442051	GFI	gram of fissile isotopes
28442059	GFI	gram of fissile isotopes
28442099	GFI	gram of fissile isotopes
28445000	GFI	gram of fissile isotopes
28470000	KNS	kilogram of hydrogen peroxide
29211100	KMA	kilogram of methylamines
29371100	GRM	gram
29371200	GRM	gram
29371900	GRM	gram
29372100	GRM	gram
29372200	GRM	gram
29372300	GRM	gram
29372900	GRM	gram
29375000	GRM	gram
29379000	GRM	gram
30022010	NAR	number of items
31021010	KNI	kilogram of nitrogen
31021090	KNI	kilogram of nitrogen
31022100	KNI	kilogram of nitrogen
31022900	KNI	kilogram of nitrogen
31023010	KNI	kilogram of nitrogen
31023090	KNI	kilogram of nitrogen
31024010	KNI	kilogram of nitrogen
31024090	KNI	kilogram of nitrogen
31025000	KNI	kilogram of nitrogen
31026000	KNI	kilogram of nitrogen
31028000	KNI	kilogram of nitrogen
31029000	KNI	kilogram of nitrogen
31031100	KPP	kilogram of diphosphorus pentaoxide
31031900	KPP	kilogram of diphosphorus pentaoxide
31039000	KPP	kilogram of diphosphorus pentaoxide
31042010	KPO	kilogram of potassium oxide
31042050	KPO	kilogram of potassium oxide
31042090	KPO	kilogram of potassium oxide
31043000	KPO	kilogram of potassium oxide
31049000	KPO	kilogram of potassium oxide
37011000	MTK	square meter
37012000	NAR	number of items
37013000	MTK	square meter
37021000	MTK	square meter
37023191	MTR	meter
37023197	MTR	meter
37024100	MTK	square meter
37024200	MTK	square meter
37024300	MTK	square meter
37024400	MTK	square meter
37025300	NAR	number of items
37025400	NAR	number of items
37025500	MTR	meter
37029690	NAR	number of items
37029790	MTR	meter
37061020	MTR	meter
37061099	MTR	meter
37069052	MTR	meter
37069091	MTR	meter
37069099	MTR	meter
39181010	MTK	square meter
39181090	MTK	square meter
39189000	MTK	square meter
39233010	NAR	number of items
39233090	NAR	number of items
39252000	NAR	number of items
39269060	NAR	number of items
40082110	MTK	square meter
40111000	NAR	number of items
40112010	NAR	number of items
40112090	NAR	number of items
40113000	NAR	number of items
40114000	NAR	number of items
40115000	NAR	number of items
40117000	NAR	number of items
40118000	NAR	number of items
40119000	NAR	number of items
40121100	NAR	number of items
40121200	NAR	number of items
40121300	NAR	number of items
40121900	NAR	number of items
40122000	NAR	number of items
40131000	NAR	number of items
40132000	NAR	number of items
40139000	NAR	number of items
40151100	NPR	number of pairs
40151900	NPR	number of pairs
41012010	NAR	number of items
41012030	NAR	number of items
41012050	NAR	number of items
41012080	NAR	number of items
41015010	NAR	number of items
41015030	NAR	number of items
41015050	NAR	number of items
41015090	NAR	number of items
41021010	NAR	number of items
41021090	NAR	number of items
41022100	NAR	number of items
41022900	NAR	number of items
41032000	NAR	number of items
41033000	NAR	number of items
41041110	NAR	number of items
41041151	NAR	number of items
41041159	NAR	number of items
41041190	NAR	number of items
41041910	NAR	number of items
41041951	NAR	number of items
41041959	NAR	number of items
41041990	NAR	number of items
41044111	NAR	number of items
41044119	NAR	number of items
41044151	NAR	number of items
41044159	NAR	number of items
41044190	NAR	number of items
41044911	NAR	number of items
41044919	NAR	number of items
41044951	NAR	number of items
41044959	NAR	number of items
41044990	NAR	number of items
41051000	NAR	number of items
41053010	NAR	number of items
41053090	NAR	number of items
41062100	NAR	number of items
41062210	NAR	number of items
41062290	NAR	number of items
41063100	NAR	number of items
41063200	NAR	number of items
41064010	NAR	number of items
41064090	NAR	number of items
41069200	NAR	number of items
41071111	MTK	square meter
41071119	MTK	square meter
41071190	MTK	square meter
